Date;Match;Competition;Duration;Team;Scheme;Goals;xG;Shots / on target;;;Passes / accurate;;;Possession, %;Losses / Low / Medium / High;;;;Recoveries / Low / Medium / High;;;;Duels / won;;;Shots from outside penalty area / on target;;;Positional attacks / with shots;;;Counterattacks / with shots;;;Set pieces / with shots;;;Corners / with shots;;;Free kicks / with shots;;;Penalties / converted;;;Crosses / accurate;;;Deep completed crosses;Deep completed passes;Penalty area entries (runs / crosses);;;Touches in penalty area;Offensive duels / won;;;Offsides;Conceded goals;Shots against / on target;;;Defensive duels / won;;;Aerial duels / won;;;Sliding tackles / successful;;;Interceptions;Clearances;Fouls;Yellow cards;Red cards;Forward passes / accurate;;;Back passes / accurate;;;Lateral passes / accurate;;;Long passes / accurate;;;Passes to final third / accurate;;;Progressive passes / accurate;;;Smart passes / accurate;;;Throw ins / accurate;;;Goal kicks;Match tempo;Average passes per possession;Long pass %;Average shot distance;Average pass length;PPDA
PSG;;;;;;2,47;2,22;15,18;6,47;42,63;656,45;596,76;90,91;62,07;81,45;14,16;23,63;43,66;68,55;27,05;27,79;13,71;178,37;87,58;49,10;5,05;1,34;26,56;33,84;8,82;26,05;2,55;1,16;45,36;25,53;4,05;15,88;5,50;1,89;34,45;1,74;0,32;18,18;0,26;0,21;80,00;9,89;3,58;36,17;3,37;15,08;29,16;5,55;5,45;26,11;77,47;33,16;42,80;2,58;0,87;10,11;3,92;38,80;59,47;36,03;60,58;15,45;8,16;52,81;4,66;2,32;49,72;34,34;8,71;9,21;2,16;0,11;182,61;155,76;85,30;98,45;93,39;94,87;253,61;239,18;94,31;27,63;17,45;63,14;66,95;57,58;86,01;72,26;57,63;79,75;12,03;5,16;42,89;15,66;14,97;95,63;6,50;18,66;7,01;4,24;17,04;16,69;10,16
Opponents;;;;;;0,87;1,11;10,11;3,71;36,72;380,26;325,18;85,52;37,93;80,18;18,97;28,89;32,32;61,58;32,92;19,92;8,74;178,37;85,61;47,99;4,71;1,26;26,82;22,13;6,05;27,35;3,53;1,32;37,31;22,45;2,34;10,43;3,55;0,84;23,70;1,45;0,29;20,00;0,11;0,08;75,00;10,45;3,55;34,01;3,45;4,87;17,97;3,92;6,13;13,42;59,47;23,45;39,42;1,95;2,47;15,18;6,71;44,19;77,47;44,29;57,17;15,45;6,58;42,59;4,68;2,21;47,19;40,71;12,92;11,84;1,82;0,11;118,11;90,68;76,78;58,61;55,32;94,39;134,32;119,61;89,05;33,05;20,03;60,59;39,45;28,42;72,05;53,66;35,76;66,65;5,21;1,45;27,78;12,16;11,55;95,02;8,61;17,54;4,37;8,99;19,82;18,07;18,86
2022-09-18;Olympique Lyonnais - PSG 0:1;France. Ligue 1;94;PSG;3-4-3 (100.0%);1;2,1;14;8;57,14;773;717;92,76;64,21;91;18;30;43;75;39;24;12;192;89;46,35;2;2;100;32;7;21,88;1;1;100;31;5;16,13;7;1;14,29;1;0;0;0;0;0;6;1;16,67;1;16;28;11;2;31;101;38;37,62;3;0;12;3;25;59;35;59,32;12;8;66,67;3;1;33,33;42;6;4;2;0;195;167;85,64;122;120;98,36;292;280;95,89;36;21;58,33;77;66;85,71;80;57;71,25;8;3;37,5;11;10;90,91;7;19,5;7,97;4,66;15,32;16,35;13,35
2022-09-18;Olympique Lyonnais - PSG 0:1;France. Ligue 1;94;Olympique Lyonnais;4-4-2 (100.0%);0;1,46;12;3;25;430;367;85,35;35,79;83;17;25;41;68;31;22;15;192;98;51,04;2;0;0;34;10;29,41;0;0;0;13;2;15,38;3;0;0;1;0;0;0;0;0;16;6;37,5;6;12;32;6;12;25;59;24;40,68;3;1;14;8;57,14;101;62;61,39;12;4;33,33;4;1;25;44;11;14;0;0;139;111;79,86;56;52;92,86;162;146;90,12;27;16;59,26;48;35;72,92;68;51;75;5;2;40;12;11;91,67;3;19,46;5,31;6,28;15,11;17,79;14,61
2022-09-10;PSG - Brest 1:0;France. Ligue 1;97;PSG;3-4-3 (100.0%);1;2,3;14;4;28,57;645;595;92,25;60,16;87;14;39;34;77;26;35;16;202;100;49,5;2;0;0;31;8;25,81;1;1;100;25;5;20;3;2;66,67;1;0;0;0;0;0;4;1;25;1;14;23;5;0;29;83;36;43,37;3;0;6;4;66,67;55;39;70,91;25;15;60;4;0;0;36;13;13;4;0;184;156;84,78;100;95;95;211;204;96,68;31;23;74,19;58;49;84,48;66;52;78,79;12;6;50;17;15;88,24;5;18,35;6,79;4,81;13,77;15,12;9,56
2022-09-10;PSG - Brest 1:0;France. Ligue 1;97;Brest;5-4-1 (100.0%);0;1,05;6;3;50;412;351;85,19;39,84;78;20;34;24;73;30;38;5;202;89;44,06;4;2;50;21;3;14,29;3;0;0;28;2;7,14;5;0;0;2;1;50;1;0;0;11;4;36,36;3;2;12;2;6;8;55;16;29,09;1;1;14;4;28,57;83;47;56,63;25;8;32;4;2;50;41;15;16;2;0;123;90;73,17;69;65;94,2;138;125;90,58;38;20;52,63;41;30;73,17;61;40;65,57;4;2;50;11;11;100;12;17,7;4,58;9,22;20,6;18,67;16,22
2022-09-03;Nantes - PSG 0:3;France. Ligue 1;97;PSG;3-4-1-2 (100.0%);3;3,86;18;7;38,89;674;613;90,95;57,52;98;12;25;61;74;29;28;17;205;97;47,32;3;0;0;41;12;29,27;1;1;100;23;4;17,39;7;2;28,57;2;0;0;0;0;0;9;3;33,33;4;36;42;8;4;49;77;31;40,26;1;0;7;1;14,29;79;45;56,96;23;11;47,83;1;1;100;23;4;12;4;0;195;172;88,21;98;93;94,9;237;222;93,67;25;22;88;74;70;94,59;84;73;86,9;16;7;43,75;16;15;93,75;10;19,51;7,75;3,71;13,97;15,74;15,73
2022-09-03;Nantes - PSG 0:3;France. Ligue 1;97;Nantes;5-4-1 (28.7%);0;0,58;7;1;14,29;457;400;87,53;42,48;85;20;29;36;84;51;23;10;205;105;51,22;4;0;0;26;5;19,23;2;0;0;17;2;11,76;1;0;0;0;0;0;0;0;0;10;3;30;5;4;13;2;7;9;79;34;43,04;1;3;18;7;38,89;77;46;59,74;23;11;47,83;3;2;66,67;54;11;6;1;1;137;109;79,56;61;59;96,72;189;169;89,42;45;24;53,33;56;43;76,79;59;40;67,8;2;1;50;3;3;100;4;17,91;5,38;9,85;23,67;19,59;22,5
2022-08-31;Toulouse - PSG 0:3;France. Ligue 1;96;PSG;3-4-3 (89.48%);3;2,8;21;13;61,9;587;529;90,12;60,42;79;16;26;37;72;28;28;16;134;62;46,27;4;2;50;34;12;35,29;0;0;0;32;7;21,88;9;3;33,33;2;0;0;0;0;0;6;4;66,67;3;22;33;4;1;28;78;27;34,62;1;0;14;7;50;27;22;81,48;10;7;70;5;3;60;32;7;7;0;0;174;144;82,76;77;73;94,81;188;177;94,15;23;15;65,22;57;48;84,21;68;54;79,41;15;5;33,33;18;18;100;12;18,71;5,81;3,92;15,89;15,06;9,24
2022-08-31;Toulouse - PSG 0:3;France. Ligue 1;96;Toulouse;3-4-3 (100.0%);0;0,79;14;7;50;362;310;85,64;39,58;74;17;26;31;58;35;17;6;134;67;50;7;3;42,86;29;11;37,93;3;1;33,33;24;1;4,17;3;1;33,33;1;0;0;0;0;0;8;3;37,5;3;7;15;3;6;16;27;5;18,52;1;3;21;13;61,9;78;51;65,38;10;2;20;4;4;100;38;11;10;1;0;114;90;78,95;50;46;92;127;114;89,76;24;16;66,67;47;34;72,34;55;39;70,91;4;2;50;12;11;91,67;13;17,61;3,85;6,63;21,52;17,73;15,08
2022-08-28;PSG - Monaco 1:1;France. Ligue 1;100;PSG;3-4-3 (100.0%);1;3;18;5;27,78;677;621;91,73;68,25;91;9;31;51;86;38;27;21;208;101;48,56;9;2;22,22;37;13;35,14;2;1;50;25;3;12;4;0;0;2;1;50;1;1;100;7;4;57,14;4;9;27;5;7;23;96;36;37,5;3;1;4;3;75;66;40;60,61;24;17;70,83;6;3;50;33;8;11;4;0;193;164;84,97;88;87;98,86;291;280;96,22;20;12;60;52;43;82,69;63;55;87,3;18;6;33,33;16;15;93,75;5;18,22;6,91;2,95;18,65;16,49;7,21
2022-08-28;PSG - Monaco 1:1;France. Ligue 1;100;Monaco;3-4-3 (100.0%);1;0,4;4;3;75;325;274;84,31;31,75;81;21;25;35;70;37;28;5;208;101;48,56;3;2;66,67;12;1;8,33;8;1;12,5;22;1;4,55;3;0;0;3;0;0;0;0;0;4;1;25;1;4;13;3;3;9;66;26;39,39;1;1;18;5;27,78;96;60;62,5;24;6;25;11;6;54,55;38;17;15;4;0;107;82;76,64;48;46;95,83;102;91;89,22;23;14;60,87;34;21;61,76;53;32;60,38;5;3;60;11;11;100;9;18,81;3,69;7,08;22,64;16,71;17,48
2022-08-21;Lille - PSG 1:7;France. Ligue 1;91;PSG;3-4-3 (100.0%);7;2,5;14;9;64,29;575;525;91,3;50,23;71;10;28;33;68;25;32;11;162;89;54,94;2;1;50;24;8;33,33;5;3;60;25;3;12;4;2;50;0;0;0;0;0;0;9;7;77,78;7;21;28;9;5;32;75;40;53,33;3;1;14;8;57,14;63;37;58,73;13;6;46,15;6;5;83,33;29;8;8;1;0;164;145;88,41;74;68;91,89;222;210;94,59;28;18;64,29;53;46;86,79;69;52;75,36;18;11;61,11;7;7;100;5;19,67;6,85;4,87;14,16;16,05;15,76
2022-08-21;Lille - PSG 1:7;France. Ligue 1;91;Lille;4-2-3-1 (64.64%);1;2,18;14;8;57,14;544;492;90,44;49,77;75;14;32;29;58;30;19;9;162;72;44,44;5;2;40;22;10;45,45;1;0;0;19;4;21,05;2;0;0;2;1;50;0;0;0;6;3;50;3;6;20;7;4;12;63;26;41,27;3;7;14;9;64,29;75;35;46,67;13;7;53,85;9;5;55,56;26;6;13;2;0;168;136;80,95;98;93;94,9;175;165;94,29;28;15;53,57;53;42;79,25;55;37;67,27;4;2;50;8;8;100;7;18,78;6,97;5,15;17;15,94;13,13
2022-08-13;PSG - Montpellier 5:2;France. Ligue 1;95;PSG;3-4-1-2 (100.0%);5;3,58;19;10;52,63;606;552;91,09;57,59;81;3;13;65;69;17;30;22;181;83;45,86;7;4;57,14;41;10;24,39;0;0;0;33;4;12,12;11;3;27,27;3;0;0;2;1;50;20;7;35;5;28;39;4;6;35;92;44;47,83;1;2;7;4;57,14;60;30;50;14;5;35,71;5;2;40;29;2;15;2;0;163;147;90,18;83;76;91,57;221;210;95,02;21;17;80,95;76;72;94,74;64;60;93,75;10;4;40;6;6;100;3;20,04;6,45;3,47;15,94;16,24;7,43
2022-08-13;PSG - Montpellier 5:2;France. Ligue 1;95;Montpellier;4-1-4-1 (100.0%);2;1,33;7;4;57,14;414;371;89,61;42,41;80;29;35;16;58;44;13;1;181;95;52,49;3;0;0;14;6;42,86;0;0;0;25;1;4;0;0;0;1;0;0;0;0;0;2;1;50;1;2;5;0;1;5;60;30;50;1;5;19;11;57,89;92;48;52,17;14;8;57,14;5;4;80;41;9;17;1;0;131;108;82,44;63;60;95,24;145;138;95,17;41;29;70,73;24;19;79,17;49;27;55,1;2;0;0;8;8;100;9;18,59;4,76;9,9;27,37;17,06;14,47
2022-08-06;Clermont - PSG 0:5;France. Ligue 1;91;PSG;3-4-3 (100.0%);5;2,83;18;13;72,22;669;599;89,54;59,84;86;12;30;44;84;35;32;17;159;76;47,8;3;0;0;24;9;37,5;2;2;100;25;6;24;6;2;33,33;4;1;25;0;0;0;6;2;33,33;2;18;33;7;2;34;67;32;47,76;4;0;8;1;12,5;59;31;52,54;13;6;46,15;7;3;42,86;40;1;13;1;0;184;152;82,61;90;86;95,56;245;228;93,06;27;17;62,96;54;44;81,48;71;50;70,42;20;11;55;14;13;92,86;6;19,89;7,69;4,04;14,16;15,7;8,73
2022-08-06;Clermont - PSG 0:5;France. Ligue 1;91;Clermont;4-2-3-1 (100.0%);0;0,35;8;1;12,5;414;351;84,78;40,16;86;18;36;32;72;42;21;9;159;77;48,43;6;0;0;13;6;46,15;0;0;0;21;1;4,76;0;0;0;1;1;100;0;0;0;2;1;50;1;5;14;4;1;11;59;28;47,46;0;5;18;13;72,22;67;35;52,24;13;5;38,46;1;1;100;41;14;13;2;0;119;88;73,95;74;70;94,59;134;122;91,04;46;25;54,35;36;17;47,22;49;28;57,14;5;2;40;6;6;100;4;18,34;5,24;11,11;25,11;17,33;18,7
2022-05-21;PSG - Metz 5:0;France. Ligue 1;95;PSG;4-2-3-1 (100.0%);5;6,23;30;13;43,33;736;672;91,3;71,42;79;4;24;51;76;24;29;23;168;84;50;7;2;28,57;45;22;48,89;4;2;50;24;6;25;4;3;75;0;0;0;0;0;0;10;4;40;4;20;29;7;6;44;82;36;43,9;1;0;3;1;33,33;41;25;60,98;14;6;42,86;5;3;60;21;7;7;1;0;212;188;88,68;114;110;96,49;234;222;94,87;24;20;83,33;63;52;82,54;59;52;88,14;18;7;38,89;15;15;100;7;19,86;7,83;3,26;15,4;15,06;7,38
2022-05-21;PSG - Metz 5:0;France. Ligue 1;95;Metz;5-4-1 (60.71%);0;0,6;3;1;33,33;232;189;81,47;28,58;79;31;30;18;59;39;17;3;168;80;47,62;1;0;0;15;1;6,67;3;1;33,33;16;1;6,25;2;0;0;2;0;0;0;0;0;8;5;62,5;6;0;9;3;5;6;41;16;39,02;2;5;30;13;43,33;82;46;56,1;14;8;57,14;3;2;66,67;55;19;12;1;1;82;60;73,17;37;34;91,89;65;58;89,23;18;9;50;17;12;70,59;40;23;57,5;8;3;37,5;13;12;92,31;10;15,65;2,67;7,76;16,11;16,51;21,65
2022-05-14;Montpellier - PSG 0:4;France. Ligue 1;95;PSG;4-3-3 (100.0%);4;2,62;14;9;64,29;726;665;91,6;68,6;76;16;21;39;73;38;20;15;158;81;51,27;5;4;80;30;9;30;3;1;33,33;21;3;14,29;2;1;50;1;2;200;1;1;100;6;3;50;2;14;24;3;3;20;68;31;45,59;4;0;10;2;20;62;38;61,29;11;7;63,64;8;3;37,5;29;7;7;4;0;182;153;84,07;107;102;95,33;288;269;93,4;51;37;72,55;68;55;80,88;82;62;75,61;9;5;55,56;18;16;88,89;8;18,7;8,44;7,02;17,81;18,01;7,67
2022-05-14;Montpellier - PSG 0:4;France. Ligue 1;95;Montpellier;5-4-1 (56.57%);0;0,62;10;2;20;297;248;83,5;31,4;85;23;27;35;60;31;20;9;158;73;46,2;8;2;25;21;3;14,29;2;1;50;19;4;21,05;0;0;0;2;0;0;0;0;0;7;2;28,57;2;3;11;0;5;6;62;24;38,71;4;4;14;9;64,29;68;37;54,41;11;3;27,27;10;6;60;39;9;9;2;0;109;80;73,39;44;42;95,45;94;86;91,49;31;19;61,29;36;26;72,22;58;41;70,69;7;1;14,29;17;16;94,12;10;16,71;3,41;10,44;26,23;18,1;17,82
2022-05-08;PSG - Troyes 2:2;France. Ligue 1;95;PSG;4-2-3-1 (100.0%);2;2,94;17;6;35,29;614;570;92,83;63,94;71;12;17;42;68;28;28;12;171;84;49,12;7;3;42,86;28;8;28,57;1;0;0;32;8;25;7;2;28,57;1;0;0;1;1;100;11;6;54,55;5;10;21;3;8;16;75;33;44;2;2;9;4;44,44;58;33;56,9;20;10;50;6;5;83,33;26;10;10;1;0;181;164;90,61;82;79;96,34;254;239;94,09;20;14;70;64;57;89,06;56;48;85,71;6;2;33,33;10;10;100;5;18,42;6,82;3,26;17,11;17,01;9,92
2022-05-08;PSG - Troyes 2:2;France. Ligue 1;95;Troyes;5-4-1 (100.0%);2;1,57;9;3;33,33;341;288;84,46;36,06;74;14;29;31;62;35;18;9;171;83;48,54;5;1;20;23;5;21,74;3;0;0;25;3;12;4;0;0;3;2;66,67;1;1;100;9;2;22,22;2;1;15;4;6;5;58;25;43,1;1;2;17;6;35,29;75;42;56;20;10;50;3;0;0;22;10;19;2;0;118;86;72,88;40;40;100;106;94;88,68;28;18;64,29;32;25;78,13;44;25;56,82;3;1;33,33;16;16;100;12;18,14;4,06;8,21;19,64;15,76;16,91
2022-04-29;Strasbourg - PSG 3:3;France. Ligue 1;97;PSG;3-4-3 (100.0%);3;1,32;13;6;46,15;592;539;91,05;57,34;86;25;24;37;64;28;21;15;141;72;51,06;6;2;33,33;24;5;20,83;4;2;50;31;4;12,9;5;1;20;3;0;0;0;0;0;7;2;28,57;2;11;28;5;3;20;73;29;39,73;1;3;14;3;21,43;34;25;73,53;18;13;72,22;3;0;0;45;12;5;3;0;165;134;81,21;92;90;97,83;248;235;94,76;26;14;53,85;62;56;90,32;60;45;75;16;8;50;11;10;90,91;10;19,19;6,96;4,39;22,08;17,28;17,76
2022-04-29;Strasbourg - PSG 3:3;France. Ligue 1;97;Strasbourg;5-3-2 (100.0%);3;1,63;14;2;14,29;456;391;85,75;42,66;82;15;23;44;73;33;22;18;141;68;48,23;6;0;0;32;9;28,13;1;1;100;15;3;20;2;2;100;2;0;0;0;0;0;15;5;33,33;8;8;22;1;11;14;34;9;26,47;3;3;13;6;46,15;73;44;60,27;18;5;27,78;3;1;33,33;35;11;14;3;0;128;102;79,69;97;89;91,75;169;146;86,39;31;21;67,74;49;38;77,55;72;53;73,61;4;3;75;11;9;81,82;7;19,86;5,85;6,8;18,62;19,23;12,86
2022-04-23;PSG - Lens 1:1;France. Ligue 1;93;PSG;3-4-3 (81.11%);1;1,81;19;8;42,11;705;645;91,49;64,95;82;12;26;44;71;25;28;18;162;71;43,83;5;3;60;38;15;39,47;2;1;50;22;2;9,09;4;0;0;2;3;150;0;0;0;7;2;28,57;2;18;35;11;4;27;63;26;41,27;0;1;8;4;50;56;24;42,86;9;7;77,78;9;0;0;26;8;17;4;0;187;159;85,03;102;97;95,1;300;285;95;23;11;47,83;67;61;91,04;72;58;80,56;9;5;55,56;24;24;100;4;19,93;7,5;3,26;17,97;16,54;5,93
2022-04-23;PSG - Lens 1:1;France. Ligue 1;93;Lens;3-4-2-1 (61.96%);1;0,84;8;3;37,5;361;301;83,38;35,05;87;23;34;30;70;40;21;9;162;86;53,09;5;0;0;16;4;25;3;2;66,67;30;4;13,33;3;0;0;2;0;0;0;0;0;9;1;11,11;1;10;13;2;4;14;56;32;57,14;2;1;19;8;42,11;63;37;58,73;9;2;22,22;2;0;0;42;9;12;1;1;121;88;72,73;47;45;95,74;102;86;84,31;26;14;53,85;36;25;69,44;48;25;52,08;5;2;40;14;14;100;12;18,91;3,8;7,2;22,75;15,95;20,14
2022-04-20;Angers SCO - PSG 0:3;France. Ligue 1;95;PSG;3-5-2 (98.65%);3;1,17;17;9;52,94;630;570;90,48;57,22;68;16;18;34;48;22;22;4;145;72;49,66;9;4;44,44;30;9;30;1;1;100;20;7;35;7;5;71,43;0;0;0;0;0;0;5;2;40;2;5;17;3;4;15;61;27;44,26;2;0;6;1;16,67;55;37;67,27;8;3;37,5;5;1;20;30;6;11;2;1;151;117;77,48;108;103;95,37;267;254;95,13;42;27;64,29;44;32;72,73;52;33;63,46;9;2;22,22;16;16;100;7;18,61;7,97;6,67;18,73;17,32;15,35
2022-04-20;Angers SCO - PSG 0:3;France. Ligue 1;95;Angers SCO;5-3-2 (100.0%);0;0,72;6;1;16,67;460;408;88,7;42,78;68;9;27;32;59;31;19;9;145;65;44,83;4;1;25;15;3;20;1;1;100;23;2;8,7;3;0;0;1;0;0;0;0;0;13;4;30,77;4;5;21;2;8;12;55;18;32,73;1;3;17;9;52,94;61;34;55,74;8;5;62,5;3;1;33,33;37;4;5;1;0;117;91;77,78;68;68;100;201;182;90,55;28;17;60,71;36;24;66,67;56;41;73,21;6;2;33,33;6;6;100;8;18,17;7,08;6,09;19,34;18,6;23,81
2022-04-17;PSG - Olympique Marseille 2:1;France. Ligue 1;101;PSG;4-3-3 (91.14%);2;1,5;7;3;42,86;462;414;89,61;42,88;57;11;22;24;55;20;28;7;185;82;44,32;2;1;50;19;4;21,05;4;0;0;22;0;0;3;0;0;2;0;0;1;1;100;1;0;0;1;11;16;5;1;14;64;25;39,06;7;1;3;1;33,33;73;40;54,79;8;3;37,5;5;2;40;36;13;16;6;0;136;106;77,94;65;62;95,38;193;186;96,37;23;8;34,78;39;27;69,23;48;28;58,33;9;5;55,56;20;19;95;3;18,99;5,02;4,98;17,32;17,37;14,77
2022-04-17;PSG - Olympique Marseille 2:1;France. Ligue 1;101;Olympique Marseille;5-3-2 (49.37%);1;0,77;3;1;33,33;627;568;90,59;57,12;74;11;34;29;58;28;23;7;185;91;49,19;1;0;0;25;0;0;1;1;100;33;2;6,06;4;1;25;2;1;50;0;0;0;6;0;0;0;3;12;1;4;10;73;33;45,21;4;2;7;3;42,86;64;39;60,94;8;4;50;4;3;75;24;7;12;1;0;135;113;83,7;107;101;94,39;242;221;91,32;49;37;75,51;49;41;83,67;44;24;54,55;7;2;28,57;15;14;93,33;7;19,35;6,89;7,81;12,64;16,93;12,1
2022-04-09;Clermont - PSG 1:6;France. Ligue 1;93;PSG;4-3-3 (72.61%);6;2,99;16;10;62,5;705;647;91,77;62,35;71;8;25;38;56;25;23;8;141;77;54,61;6;2;33,33;31;11;35,48;1;1;100;22;3;13,64;5;1;20;0;0;0;1;1;100;6;2;33,33;2;13;24;7;2;17;70;32;45,71;3;1;7;4;57,14;45;31;68,89;10;6;60;5;4;80;30;3;8;1;0;207;182;87,92;123;116;94,31;301;286;95,02;22;15;68,18;86;74;86,05;101;86;85,15;6;3;50;13;13;100;5;21,37;8,7;3,12;17,45;18,89;12,52
2022-04-09;Clermont - PSG 1:6;France. Ligue 1;93;Clermont;4-4-1-1 (71.45%);1;0,83;7;3;42,86;391;344;87,98;37,65;67;12;26;29;48;25;20;3;141;64;45,39;4;1;25;20;5;25;1;0;0;21;2;9,52;2;1;50;2;0;0;0;0;0;10;6;60;4;3;16;3;5;8;45;14;31,11;4;6;16;10;62,5;70;38;54,29;10;4;40;5;2;40;31;3;8;1;0;115;91;79,13;60;57;95;162;148;91,36;38;24;63,16;44;30;68,18;62;45;72,58;4;1;25;14;12;85,71;10;19,63;4,89;9,72;22,54;18,73;28,12
2022-04-03;PSG - Lorient 5:1;France. Ligue 1;96;PSG;4-3-3 (85.76%);5;1,84;14;7;50;712;653;91,71;67,3;70;12;22;36;66;29;31;6;171;82;47,95;4;2;50;33;9;27,27;3;1;33,33;24;3;12,5;3;1;33,33;2;0;0;0;0;0;10;4;40;4;10;29;7;6;23;76;34;44,74;2;1;12;4;33,33;47;30;63,83;15;8;53,33;1;0;0;35;4;7;2;0;197;176;89,34;121;116;95,87;247;238;96,36;24;15;62,5;82;76;92,68;93;80;86,02;9;4;44,44;16;15;93,75;6;18,76;7,66;3,37;18,01;15,95;14,39
2022-04-03;PSG - Lorient 5:1;France. Ligue 1;96;Lorient;4-4-2 (100.0%);1;1,02;12;4;33,33;355;299;84,23;32,7;75;11;35;29;51;26;18;7;171;77;45,03;8;2;25;26;9;34,62;1;1;100;17;1;5,88;1;1;100;2;0;0;0;0;0;7;2;28,57;3;2;13;3;6;8;47;17;36,17;1;5;14;7;50;76;42;55,26;15;4;26,67;6;2;33,33;33;11;14;1;0;107;75;70,09;51;48;94,12;138;121;87,68;25;16;64;40;28;70;46;29;63,04;9;3;33,33;20;18;90;8;19,25;3,99;7,04;24,49;17,41;27,71
2022-03-20;Monaco - PSG 3:0;France. Ligue 1;93;PSG;4-3-3 (27.49%);0;1,53;11;6;54,55;584;521;89,21;61,58;105;19;33;53;84;38;34;12;203;87;42,86;4;2;50;31;5;16,13;2;1;50;33;4;12,12;7;3;42,86;1;1;100;0;0;0;9;4;44,44;3;16;28;5;4;26;94;32;34,04;0;3;11;7;63,64;56;35;62,5;21;11;52,38;7;5;71,43;42;19;10;3;0;189;168;88,89;104;94;90,38;210;188;89,52;32;22;68,75;62;51;82,26;87;71;81,61;9;5;55,56;17;16;94,12;5;17,42;5,21;5,48;19,21;17,45;9,85
