Date;Match;Competition;Duration;Team;Scheme;Goals;xG;Shots / on target;;;Passes / accurate;;;Possession, %;Losses / Low / Medium / High;;;;Recoveries / Low / Medium / High;;;;Duels / won;;;Shots from outside penalty area / on target;;;Positional attacks / with shots;;;Counterattacks / with shots;;;Set pieces / with shots;;;Corners / with shots;;;Free kicks / with shots;;;Penalties / converted;;;Crosses / accurate;;;Deep completed crosses;Deep completed passes;Penalty area entries (runs / crosses);;;Touches in penalty area;Offensive duels / won;;;Offsides;Conceded goals;Shots against / on target;;;Defensive duels / won;;;Aerial duels / won;;;Sliding tackles / successful;;;Interceptions;Clearances;Fouls;Yellow cards;Red cards;Forward passes / accurate;;;Back passes / accurate;;;Lateral passes / accurate;;;Long passes / accurate;;;Passes to final third / accurate;;;Progressive passes / accurate;;;Smart passes / accurate;;;Throw ins / accurate;;;Goal kicks;Match tempo;Average passes per possession;Long pass %;Average shot distance;Average pass length;PPDA
2022-03-20;Monaco - PSG 3:0;France. Ligue 1;93;Monaco;4-2-3-1 (90.52%);3;2,15;11;7;63,64;388;312;80,41;38,42;106;21;30;55;85;41;28;16;203;107;52,71;4;2;50;35;8;22,86;2;0;0;23;2;8,7;6;2;33,33;1;0;0;1;1;100;13;2;15,38;2;3;25;6;6;20;56;21;37,5;4;0;11;6;54,55;94;62;65,96;21;9;42,86;6;3;50;39;14;17;3;0;133;93;69,92;65;63;96,92;119;101;84,87;44;24;54,55;52;37;71,15;76;53;69,74;4;2;50;16;16;100;9;18,55;3,8;11,34;18,73;18,76;17,71
2022-03-13;PSG - Bordeaux 3:0;France. Ligue 1;97;PSG;4-3-3 (100.0%);3;1,68;12;3;25;628;567;90,29;58,4;92;22;18;52;70;38;24;8;210;111;52,86;7;0;0;35;7;20;3;2;66,67;24;2;8,33;2;1;50;1;0;0;0;0;0;5;1;20;0;11;16;0;2;15;94;41;43,62;3;0;15;6;40;76;53;69,74;6;4;66,67;7;4;57,14;49;15;5;1;0;191;155;81,15;93;89;95,7;231;222;96,1;24;14;58,33;68;58;85,29;74;54;72,97;16;6;37,5;13;12;92,31;10;17,07;6,16;3,82;19,78;16,14;9,22
2022-03-13;PSG - Bordeaux 3:0;France. Ligue 1;97;Bordeaux;5-4-1 (100.0%);0;0,97;15;5;33,33;465;396;85,16;41,6;85;14;29;42;68;39;19;10;210;95;45,24;9;3;33,33;33;10;30,3;2;0;0;19;5;26,32;4;3;75;0;0;0;0;0;0;20;9;45;6;3;26;5;11;16;76;23;30,26;3;3;12;3;25;94;53;56,38;6;2;33,33;4;2;50;44;5;9;2;0;134;101;75,37;68;65;95,59;199;182;91,46;42;25;59,52;50;37;74;70;47;67,14;13;4;30,77;15;14;93,33;7;17,74;4,56;9,03;20,89;19,31;19,45
2022-03-05;Nice - PSG 1:0;France. Ligue 1;96;PSG;4-3-3 (100.0%);0;0,39;7;1;14,29;650;599;92,15;57,22;76;13;24;39;60;15;36;9;178;81;45,51;2;0;0;27;5;18,52;4;1;25;27;1;3,7;4;0;0;2;0;0;0;0;0;8;3;37,5;2;8;21;6;5;12;76;28;36,84;2;1;12;7;58,33;57;34;59,65;14;6;42,86;7;4;57,14;27;14;10;0;0;186;158;84,95;97;91;93,81;251;240;95,62;28;15;53,57;59;46;77,97;49;40;81,63;4;4;100;9;9;100;9;18,3;7,22;4,31;19,15;16,65;10,33
2022-03-05;Nice - PSG 1:0;France. Ligue 1;96;Nice;4-4-2 (100.0%);1;1,23;12;7;58,33;472;430;91,1;42,78;75;16;31;28;64;34;23;7;178;92;51,69;3;1;33,33;28;7;25;4;2;50;18;3;16,67;3;1;33,33;0;0;0;0;0;0;16;5;31,25;5;8;25;3;12;18;57;23;40,35;0;0;7;1;14,29;76;48;63,16;14;8;57,14;6;2;33,33;27;9;15;1;0;135;121;89,63;91;88;96,7;155;139;89,68;25;15;60;38;33;86,84;53;37;69,81;1;1;100;13;11;84,62;4;17,78;5,62;5,3;18,16;16,91;16,59
2022-02-26;PSG - Saint-Étienne 3:1;France. Ligue 1;92;PSG;4-3-3 (48.69%);3;2,29;21;8;38,1;603;540;89,55;61,02;78;18;22;38;66;28;26;12;163;72;44,17;9;2;22,22;31;7;22,58;4;3;75;29;8;27,59;8;4;50;5;1;20;0;0;0;8;5;62,5;4;21;26;7;6;30;70;26;37,14;5;1;13;6;46,15;58;31;53,45;10;7;70;2;1;50;36;11;10;2;0;182;145;79,67;91;86;94,51;208;198;95,19;29;18;62,07;59;43;72,88;60;39;65;8;3;37,5;23;22;95,65;8;17,88;5,48;4,81;17,34;15,52;10
2022-02-26;PSG - Saint-Étienne 3:1;France. Ligue 1;92;Saint-Étienne;5-4-1 (60.81%);1;1,31;13;6;46,15;365;308;84,38;38,98;71;16;23;32;57;30;14;13;163;86;52,76;7;2;28,57;26;9;34,62;4;2;50;24;1;4,17;3;0;0;1;0;0;0;0;0;11;1;9,09;1;5;22;7;7;12;58;27;46,55;1;3;21;9;42,86;70;44;62,86;10;3;30;3;2;66,67;34;16;13;1;0;122;98;80,33;56;52;92,86;108;86;79,63;35;22;62,86;46;33;71,74;48;36;75;8;2;25;14;14;100;7;16,94;3,69;9,59;20,84;16,91;22,15
2022-02-19;Nantes - PSG 3:1;France. Ligue 1;101;PSG;4-3-3 (86.02%);1;3,25;15;9;60;676;624;92,31;68;82;14;19;49;72;34;24;14;205;100;48,78;2;0;0;38;8;21,05;0;0;0;31;4;12,9;7;3;42,86;2;0;0;1;0;0;10;6;60;5;17;32;6;3;35;94;42;44,68;1;3;12;7;58,33;59;36;61,02;18;8;44,44;7;4;57,14;28;9;10;6;0;225;198;88;110;106;96,36;183;175;95,63;15;10;66,67;58;47;81,03;52;46;88,46;10;5;50;16;14;87,5;7;19,27;5,93;2,22;13,93;13,36;6,91
2022-02-19;Nantes - PSG 3:1;France. Ligue 1;101;Nantes;5-3-2 (79.33%);3;2,21;12;7;58,33;259;215;83,01;32;71;18;16;37;76;46;18;12;205;102;49,76;3;2;66,67;19;4;21,05;10;5;50;20;2;10;5;1;20;2;1;50;1;1;100;10;5;50;5;2;21;6;6;17;59;23;38,98;1;1;15;10;66,67;94;52;55,32;18;9;50;7;5;71,43;35;22;16;2;0;85;58;68,24;41;40;97,56;77;66;85,71;34;18;52,94;33;21;63,64;41;30;73,17;2;0;0;10;9;90;6;15,69;2,7;13,13;16,19;18,64;18,84
2022-02-11;PSG - Rennes 1:0;France. Ligue 1;97;PSG;4-4-2 (100.0%);1;1,44;12;3;25;684;614;89,77;63,31;82;14;19;49;63;22;26;15;170;91;53,53;4;0;0;35;7;20;2;2;100;24;3;12,5;5;1;20;0;0;0;0;0;0;16;2;12,5;2;7;28;7;7;22;87;51;58,62;4;0;11;1;9,09;44;22;50;20;9;45;8;4;50;28;4;12;2;0;185;160;86,49;124;115;92,74;250;226;90,4;33;18;54,55;84;76;90,48;70;52;74,29;6;2;33,33;15;14;93,33;7;17,98;8,14;4,82;18,13;17,08;8,94
2022-02-11;PSG - Rennes 1:0;France. Ligue 1;97;Rennes;4-4-2 (100.0%);0;0,69;11;1;9,09;377;324;85,94;36,69;73;17;34;22;47;26;15;6;170;78;45,88;4;0;0;22;9;40,91;1;0;0;25;2;8;3;2;66,67;0;0;0;0;0;0;8;3;37,5;3;6;15;2;2;12;44;22;50;3;1;12;3;25;87;36;41,38;20;11;55;3;1;33,33;51;11;10;1;0;129;103;79,84;59;56;94,92;137;123;89,78;30;17;56,67;42;28;66,67;49;34;69,39;6;0;0;13;13;100;8;17,1;4,28;7,96;19,73;19,08;18,86
2022-02-06;Lille - PSG 1:5;France. Ligue 1;94;PSG;4-3-3 (92.38%);5;2,71;17;7;41,18;603;552;91,54;60,31;82;21;25;36;56;21;23;12;175;93;53,14;8;3;37,5;26;7;26,92;3;2;66,67;29;6;20,69;3;2;66,67;2;0;0;0;0;0;7;3;42,86;3;14;28;8;4;26;73;37;50,68;0;1;10;5;50;65;43;66,15;11;3;27,27;2;1;50;32;8;9;1;0;168;145;86,31;100;96;96;239;229;95,82;23;17;73,91;43;38;88,37;52;40;76,92;10;6;60;15;15;100;4;17,88;6,85;3,81;18,35;16,91;10,41
2022-02-06;Lille - PSG 1:5;France. Ligue 1;94;Lille;4-4-2 (92.61%);1;1,37;10;5;50;425;372;87,53;39,69;74;19;25;30;52;25;18;9;175;78;44,57;2;2;100;25;7;28;6;0;0;21;3;14,29;4;2;50;0;0;0;0;0;0;12;4;33,33;4;5;19;7;5;20;65;22;33,85;3;5;17;7;41,18;73;36;49,32;11;8;72,73;10;5;50;34;12;19;2;0;123;100;81,3;55;52;94,55;161;145;90,06;20;11;55;37;28;75,68;46;31;67,39;5;1;20;14;12;85,71;10;19,15;5,18;4,71;14,98;17,03;13,18
2022-01-23;PSG - Reims 4:0;France. Ligue 1;93;PSG;4-3-3 (100.0%);4;3,11;19;8;42,11;819;750;91,58;67,45;93;12;28;53;78;28;28;22;195;99;50,77;6;1;16,67;46;11;23,91;7;3;42,86;28;5;17,86;14;5;35,71;1;0;0;0;0;0;17;3;17,65;4;19;36;7;8;33;79;28;35,44;1;0;7;3;42,86;81;57;70,37;14;4;28,57;8;5;62,5;36;3;6;0;0;207;180;86,96;109;106;97,25;408;386;94,61;43;29;67,44;115;102;88,7;117;104;88,89;14;4;28,57;15;15;100;4;18,54;7,95;5,25;16,78;19,87;6,09
2022-01-23;PSG - Reims 4:0;France. Ligue 1;93;Reims;5-4-1 (87.68%);0;0,69;7;3;42,86;356;296;83,15;32,55;93;27;33;33;61;31;24;6;195;93;47,69;4;2;50;21;6;28,57;2;0;0;18;1;5,56;0;0;0;0;0;0;0;0;0;11;3;27,27;2;3;14;3;6;10;81;24;29,63;1;4;19;8;42,11;79;51;64,56;14;10;71,43;2;0;0;51;13;9;1;0;109;81;74,31;53;51;96,23;161;141;87,58;32;24;75;43;32;74,42;61;42;68,85;2;0;0;14;14;100;11;16,7;4,14;8,99;20,64;20,16;23,9
2022-01-15;PSG - Brest 2:0;France. Ligue 1;97;PSG;4-3-3 (77.85%);2;2,17;18;9;50;772;709;91,84;66,07;81;8;17;56;84;29;37;18;190;88;46,32;5;1;20;47;11;23,4;5;2;40;20;5;25;9;4;44,44;1;0;0;0;0;0;19;5;26,32;7;14;37;6;11;37;83;34;40,96;5;0;6;3;50;66;35;53,03;19;10;52,63;4;0;0;48;13;10;5;0;209;181;86,6;126;121;96,03;350;330;94,29;18;14;77,78;102;93;91,18;101;90;89,11;10;4;40;12;11;91,67;3;19,32;7,42;2,33;17,02;18,33;8
2022-01-15;PSG - Brest 2:0;France. Ligue 1;97;Brest;4-4-2 (100.0%);0;0,74;6;3;50;352;286;81,25;33,93;98;30;34;34;60;39;15;6;190;101;53,16;2;1;50;21;3;14,29;3;1;33,33;28;2;7,14;6;1;16,67;3;0;0;0;0;0;14;4;28,57;4;0;17;0;11;7;66;31;46,97;0;2;18;12;66,67;83;49;59,04;19;8;42,11;3;0;0;47;18;8;3;0;134;97;72,39;57;51;89,47;103;87;84,47;40;24;60;33;22;66,67;56;29;51,79;8;2;25;14;13;92,86;7;17,15;3,17;11,36;16,94;17,3;26,72
2022-01-09;Olympique Lyonnais - PSG 1:1;France. Ligue 1;92;PSG;4-3-3 (48.69%);1;1,09;15;3;20;670;613;91,49;70,03;82;10;22;50;69;14;41;14;205;103;50,24;8;2;25;38;6;15,79;1;1;100;31;7;22,58;7;5;71,43;2;0;0;0;0;0;15;6;40;6;11;23;1;11;21;87;38;43,68;2;1;11;4;36,36;72;42;58,33;21;12;57,14;6;4;66,67;25;4;13;2;0;168;140;83,33;90;87;96,67;318;303;95,28;21;13;61,9;82;64;78,05;63;58;92,06;5;1;20;22;21;95,45;6;17,01;6,63;3,13;20,16;17,58;6,33
2022-01-09;Olympique Lyonnais - PSG 1:1;France. Ligue 1;92;Olympique Lyonnais;5-4-1 (100.0%);1;1,64;11;4;36,36;299;251;83,95;29,97;74;22;34;18;53;30;18;5;205;98;47,8;1;1;100;11;4;36,36;4;4;100;27;3;11,11;2;1;50;1;0;0;0;0;0;2;0;0;0;5;13;9;1;14;72;30;41,67;0;1;15;3;20;87;49;56,32;21;8;38,1;3;0;0;48;19;18;2;0;100;78;78;56;53;94,64;93;79;84,95;28;20;71,43;25;17;68;53;32;60,38;3;0;0;12;12;100;12;17,74;3,69;9,36;16,33;18,58;15,58
2021-12-22;Lorient - PSG 1:1;France. Ligue 1;93;PSG;4-4-2 (59.47%);1;2,04;17;4;23,53;783;711;90,8;73,36;87;13;22;52;72;17;33;22;198;106;53,54;5;0;0;51;11;21,57;0;0;0;24;6;25;8;2;25;2;0;0;0;0;0;26;9;34,62;8;14;48;5;16;36;77;45;58,44;2;1;16;5;31,25;61;34;55,74;26;16;61,54;2;1;50;32;5;8;2;1;181;155;85,64;125;117;93,6;349;328;93,98;39;30;76,92;101;95;94,06;92;79;85,87;8;2;25;23;22;95,65;8;18,42;8,07;4,98;16,57;18,03;5,96
2021-12-22;Lorient - PSG 1:1;France. Ligue 1;93;Lorient;4-4-2 (100.0%);1;1,21;16;5;31,25;215;166;77,21;26,64;93;29;38;26;63;39;17;7;198;82;41,41;10;3;30;18;3;16,67;11;10;90,91;26;3;11,54;6;3;50;2;1;50;0;0;0;9;2;22,22;2;6;15;6;5;12;61;27;44,26;2;1;17;4;23,53;77;32;41,56;26;7;26,92;3;1;33,33;53;30;6;1;0;94;62;65,96;22;20;90,91;54;46;85,19;30;17;56,67;24;18;75;49;29;59,18;6;3;50;11;11;100;11;13,93;2,29;13,95;22;18,48;37,22
2021-12-12;PSG - Monaco 2:0;France. Ligue 1;96;PSG;4-3-3 (86.51%);2;1,63;9;2;22,22;532;473;88,91;52,63;89;27;32;30;80;47;20;13;169;85;50,3;3;0;0;22;4;18,18;6;1;16,67;26;1;3,85;1;0;0;2;0;0;1;1;100;4;3;75;2;9;23;2;3;8;80;37;46,25;4;0;12;3;25;53;30;56,6;16;10;62,5;3;0;0;42;13;8;3;0;153;126;82,35;86;79;91,86;183;167;91,26;32;16;50;37;31;83,78;69;43;62,32;8;1;12,5;11;10;90,91;8;18,08;6,11;6,02;18,02;17,55;14,35
2021-12-12;PSG - Monaco 2:0;France. Ligue 1;96;Monaco;4-2-3-1 (91.1%);0;0,48;12;3;25;479;405;84,55;47,37;88;10;26;52;75;28;26;21;169;83;49,11;8;2;25;25;7;28;2;2;100;26;3;11,54;6;0;0;3;2;66,67;0;0;0;11;3;27,27;3;11;29;3;8;21;53;23;43,4;3;2;9;2;22,22;80;43;53,75;16;6;37,5;4;3;75;32;6;14;4;0;133;96;72,18;79;75;94,94;195;173;88,72;37;20;54,05;55;31;56,36;65;44;67,69;11;1;9,09;11;9;81,82;8;18,08;5,21;7,72;23,24;18,6;10,86
2021-12-04;Lens - PSG 1:1;France. Ligue 1;95;PSG;4-2-3-1 (48.37%);1;1,98;13;6;46,15;691;620;89,73;62;94;33;25;36;65;33;22;10;168;88;52,38;5;1;20;29;7;24,14;5;2;40;25;3;12;4;1;25;2;0;0;0;0;0;3;2;66,67;2;15;27;4;2;22;51;24;47,06;1;1;18;7;38,89;65;45;69,23;19;9;47,37;6;3;50;45;15;9;2;0;187;154;82,35;100;94;94;261;249;95,4;30;11;36,67;57;46;80,7;74;46;62,16;12;6;50;14;13;92,86;10;18,77;7,05;4,34;15,23;15,79;8,2
2021-12-04;Lens - PSG 1:1;France. Ligue 1;95;Lens;3-4-3 (84.35%);1;1,33;18;7;38,89;375;318;84,8;38;80;12;25;43;53;23;14;16;168;69;41,07;9;4;44,44;25;10;40;10;5;50;22;2;9,09;8;2;25;2;0;0;0;0;0;15;6;40;5;11;25;8;3;30;65;20;30,77;1;1;13;6;46,15;51;27;52,94;19;8;42,11;1;0;0;49;12;11;2;0;125;97;77,6;58;51;87,93;111;102;91,89;31;17;54,84;40;33;82,5;60;47;78,33;2;0;0;13;13;100;9;16,62;4,21;8,27;20,76;18,13;17
2021-12-01;PSG - Nice 0:0;France. Ligue 1;93;PSG;4-3-3 (100.0%);0;2,05;21;4;19,05;715;644;90,07;69,34;84;4;18;62;80;20;42;18;184;98;53,26;11;0;0;49;15;30,61;2;2;100;23;3;13,04;6;2;33,33;3;0;0;0;0;0;14;2;14,29;1;18;39;5;10;26;71;32;45,07;4;0;5;2;40;48;28;58,33;19;13;68,42;0;0;0;32;7;5;1;0;189;168;88,89;100;96;96;285;252;88,42;33;21;63,64;102;90;88,24;91;81;89,01;15;8;53,33;29;27;93,1;3;17,36;6,75;4,62;19,84;17,24;9
2021-12-01;PSG - Nice 0:0;France. Ligue 1;93;Nice;4-4-2 (100.0%);0;0,59;5;2;40;302;241;79,8;30,66;94;30;42;22;49;32;14;3;184;76;41,3;2;1;50;9;2;22,22;8;1;12,5;23;2;8,7;5;1;20;1;0;0;0;0;0;10;3;30;2;3;12;3;2;9;48;20;41,67;1;0;21;4;19,05;71;39;54,93;19;5;26,32;3;0;0;55;22;13;3;0;114;83;72,81;56;53;94,64;90;73;81,11;32;18;56,25;39;28;71,79;52;29;55,77;3;1;33,33;10;9;90;12;16,58;3,39;10,6;17,28;19,67;20,78
2021-11-28;Saint-Étienne - PSG 1:3;France. Ligue 1;97;PSG;4-2-3-1 (100.0%);3;2,24;14;7;50;724;656;90,61;70,15;76;8;13;55;74;20;32;22;175;89;50,86;3;0;0;46;8;17,39;4;0;0;17;6;35,29;5;2;40;2;1;50;0;0;0;14;5;35,71;5;17;46;7;8;35;77;32;41,56;5;1;8;4;50;70;46;65,71;12;6;50;3;1;33,33;35;9;10;1;0;194;160;82,47;94;87;92,55;319;303;94,98;35;25;71,43;97;90;92,78;86;79;91,86;31;11;35,48;13;13;100;5;19,64;7,7;4,83;13,95;16,94;6,34
2021-11-28;Saint-Étienne - PSG 1:3;France. Ligue 1;97;Saint-Étienne;4-4-2 (45.49%);1;0,85;8;4;50;262;217;82,82;29,85;82;29;25;28;58;38;15;5;175;82;46,86;3;1;33,33;17;6;35,29;3;2;66,67;30;0;0;5;1;20;1;0;0;0;0;0;9;2;22,22;2;2;10;2;5;6;70;24;34,29;1;3;14;7;50;77;45;58,44;12;6;50;8;2;25;39;20;7;3;1;78;57;73,08;40;38;95;95;83;87,37;29;16;55,17;17;14;82,35;43;25;58,14;3;2;66,67;11;10;90,91;10;16,7;2,91;11,07;24,03;19,58;21,94
2021-11-20;PSG - Nantes 3:1;France. Ligue 1;96;PSG;4-3-3 (72.13%);3;1,82;13;7;53,85;761;698;91,72;64,1;71;14;19;38;64;29;24;11;203;110;54,19;5;2;40;34;8;23,53;4;2;50;20;2;10;4;1;25;1;0;0;0;0;0;5;1;20;2;12;26;6;4;31;83;39;46,99;6;1;10;6;60;65;43;66,15;18;8;44,44;3;2;66,67;33;11;8;1;1;211;180;85,31;127;121;95,28;225;213;94,67;20;15;75;58;51;87,93;72;55;76,39;14;7;50;19;19;100;3;20,98;8,1;2,63;17,7;14,12;9,04
2021-11-20;PSG - Nantes 3:1;France. Ligue 1;96;Nantes;4-2-3-1 (100.0%);1;1,19;10;6;60;369;324;87,8;35,9;78;19;27;32;55;23;21;11;203;88;43,35;4;2;50;24;8;33,33;3;1;33,33;25;1;4;3;0;0;2;0;0;0;0;0;13;8;61,54;7;4;21;6;8;17;65;22;33,85;1;3;13;8;61,54;83;44;53,01;18;10;55,56;9;4;44,44;36;10;12;2;0;106;85;80,19;53;51;96,23;142;128;90,14;34;22;64,71;36;29;80,56;59;47;79,66;4;0;0;12;11;91,67;8;18,16;4,34;9,21;16,04;18,65;21,12
2021-11-06;Bordeaux - PSG 2:3;France. Ligue 1;94;PSG;4-3-3 (79.93%);3;0,93;8;5;62,5;561;478;85,2;53,85;97;23;40;34;71;35;27;9;190;88;46,32;0;0;0;21;7;33,33;2;0;0;20;1;5;5;1;20;1;0;0;0;0;0;7;1;14,29;1;13;26;6;5;21;74;29;39,19;3;2;18;6;33,33;68;38;55,88;18;10;55,56;2;1;50;48;11;10;1;0;194;147;75,77;82;77;93,9;158;144;91,14;28;12;42,86;48;32;66,67;69;35;50,72;22;8;36,36;14;13;92,86;3;18,74;6,03;4,99;14,64;15,21;11,48
2021-11-06;Bordeaux - PSG 2:3;France. Ligue 1;94;Bordeaux;4-4-1-1 (73.04%);2;1,63;18;6;33,33;424;365;86,08;46,15;91;13;27;51;66;26;29;11;190;96;50,53;11;1;9,09;38;14;36,84;2;1;50;26;1;3,85;10;1;10;2;0;0;0;0;0;18;6;33,33;5;12;29;3;13;20;68;30;44,12;3;3;8;5;62,5;74;45;60,81;18;8;44,44;3;1;33,33;58;8;8;2;0;135;111;82,22;67;66;98,51;125;104;83,2;45;27;60;51;39;76,47;62;48;77,42;4;0;0;10;10;100;3;16,53;4,28;10,61;20,95;17,38;9,28
2021-10-29;PSG - Lille 2:1;France. Ligue 1;96;PSG;4-3-3 (67.95%);2;2,39;17;6;35,29;555;515;92,79;58,99;67;12;23;32;49;23;24;2;186;79;42,47;5;2;40;31;10;32,26;3;1;33,33;24;5;20,83;4;3;75;3;0;0;0;0;0;13;5;38,46;4;15;27;3;10;22;79;27;34,18;0;1;11;4;36,36;62;33;53,23;15;7;46,67;2;0;0;42;12;7;1;0;152;140;92,11;90;85;94,44;254;240;94,49;17;12;70,59;51;47;92,16;70;62;88,57;5;1;20;14;14;100;7;17,07;6,38;3,06;16,17;19,12;9,31
2021-10-29;PSG - Lille 2:1;France. Ligue 1;96;Lille;4-4-2 (85.01%);1;2,03;11;3;27,27;362;308;85,08;41,01;64;9;25;30;50;18;24;8;186;101;54,3;3;0;0;21;6;28,57;7;1;14,29;18;4;22,22;5;1;20;1;0;0;0;0;0;6;2;33,33;2;12;20;6;2;24;62;29;46,77;4;2;17;6;35,29;79;52;65,82;15;8;53,33;8;2;25;28;12;10;4;0;104;77;74,04;53;47;88,68;127;113;88,98;40;24;60;44;29;65,91;40;28;70;10;1;10;20;20;100;10;16,01;4,07;11,05;15,64;18,15;17,91
2021-10-24;Olympique Marseille - PSG 0:0;France. Ligue 1;98;PSG;4-2-3-1 (63.31%);0;1,76;9;4;44,44;511;451;88,26;50,11;63;17;20;26;43;22;14;7;148;65;43,92;4;1;25;29;5;17,24;3;0;0;31;4;12,9;5;2;40;0;0;0;0;0;0;9;2;22,22;4;14;19;4;4;23;60;20;33,33;4;0;15;1;6,67;60;34;56,67;8;4;50;3;2;66,67;40;11;7;2;1;156;139;89,1;81;73;90,12;167;154;92,22;28;15;53,57;59;49;83,05;90;70;77,78;17;8;47,06;15;15;100;16;18,01;6,01;5,48;13,33;18,3;14,3
2021-10-24;Olympique Marseille - PSG 0:0;France. Ligue 1;98;Olympique Marseille;4-4-2 (82.68%);0;1;15;1;6,67;486;429;88,27;49,89;69;9;25;35;55;26;17;12;148;79;53,38;7;1;14,29;29;8;27,59;2;0;0;21;5;23,81;4;1;25;4;1;25;0;0;0;16;6;37,5;6;4;27;7;10;17;60;26;43,33;4;0;9;4;44,44;60;40;66,67;8;3;37,5;5;3;60;40;9;7;1;0;137;110;80,29;61;56;91,8;213;198;92,96;36;23;63,89;57;42;73,68;52;38;73,08;7;1;14,29;9;9;100;6;17,21;5,79;7,41;18,25;18,74;13,12
2021-10-15;PSG - Angers SCO 2:1;France. Ligue 1;94;PSG;4-3-3 (75.65%);2;1,81;13;3;23,08;735;677;92,11;71,01;86;7;23;56;61;14;32;15;201;105;52,24;6;0;0;47;8;17,02;0;0;0;25;2;8;6;1;16,67;3;1;33,33;1;1;100;19;6;31,58;6;13;32;4;9;22;85;35;41,18;3;1;8;3;37,5;73;49;67,12;14;6;42,86;8;7;87,5;30;8;8;1;0;172;152;88,37;98;93;94,9;289;270;93,43;27;14;51,85;61;56;91,8;52;48;92,31;14;6;42,86;21;20;95,24;6;18,19;7,58;3,67;17,72;15,41;5,15
2021-10-15;PSG - Angers SCO 2:1;France. Ligue 1;94;Angers SCO;3-4-1-2 (80.89%);1;1,04;8;2;25;259;214;82,63;28,99;77;28;29;20;58;38;18;2;201;90;44,78;1;0;0;7;1;14,29;9;2;22,22;25;5;20;5;3;60;0;0;0;0;0;0;11;3;27,27;5;1;16;5;8;11;73;24;32,88;3;2;13;5;38,46;85;50;58,82;14;7;50;4;4;100;45;19;10;1;0;103;77;74,76;25;23;92;90;80;88,89;38;28;73,68;24;14;58,33;40;21;52,5;2;0;0;14;14;100;12;15,7;2,88;14,67;15,21;19,5;25,25
2021-10-03;Rennes - PSG 2:0;France. Ligue 1;96;PSG;4-2-3-1 (100.0%);0;0,78;13;1;7,69;600;539;89,83;65,6;84;19;15;50;62;25;21;16;177;88;49,72;7;0;0;31;7;22,58;2;1;50;22;3;13,64;4;0;0;4;1;25;0;0;0;18;8;44,44;6;19;44;8;11;32;69;26;37,68;2;2;11;4;36,36;62;39;62,9;21;9;42,86;3;3;100;33;10;4;3;0;170;142;83,53;68;63;92,65;260;247;95;29;16;55,17;65;55;84,62;68;53;77,94;11;4;36,36;17;17;100;7;15,4;6,59;4,83;20,84;17,37;14,09
2021-10-03;Rennes - PSG 2:0;France. Ligue 1;96;Rennes;4-4-2 (100.0%);2;0,98;11;4;36,36;281;228;81,14;34,4;78;28;13;37;54;31;11;12;177;86;48,59;6;1;16,67;23;7;30,43;6;1;16,67;20;3;15;4;0;0;0;0;0;0;0;0;19;9;47,37;7;2;26;6;8;19;62;23;37,1;2;0;13;1;7,69;69;43;62,32;21;10;47,62;3;2;66,67;61;27;9;2;0;85;61;71,76;42;36;85,71;98;84;85,71;28;15;53,57;35;25;71,43;45;32;71,11;10;2;20;9;9;100;12;13,76;3,35;9,96;20,95;19,17;15,86
